City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,komsomolskiy,40.4272,71.7189,32.0,64,8,6.91,UZ,1612496316
233,cherskiy,68.75,161.3,-6.3,76,91,6.42,RU,1612496302
234,aswan,24.0934,32.907,55.11,72,0,11.72,EG,1612496264
235,auka,14.9333,-83.8333,67.33,84,0,2.1,HN,1612496424
236,iseyin,7.9667,3.6,72.19,93,0,1.74,NG,1612496424
237,husavik,66.0449,-17.3389,26.6,68,0,16.11,IS,1612496425
238,arraial do cabo,-22.9661,-42.0278,78.8,73,0,19.57,BR,1612496248
239,port lincoln,-34.7333,135.8667,67.06,56,52,23.55,AU,1612496154
240,dudinka,69.4058,86.1778,-31.67,85,100,1.79,RU,1612496425
241,manturovo,58.3353,44.7619,11.41,96,100,3.49,RU,1612496425
242,baykit,61.67,96.37,0.93,89,100,3.15,RU,1612496426
243,kapaa,22.0752,-159.319,68.0,60,75,12.66,US,1612496426
244,calbuco,-41.768,-73.1273,62.6,72,0,6.91,CL,1612496426
245,puerto del rosario,28.5004,-13.8627,57.2,62,85,19.57,ES,1612496426
246,at-bashi,41.1702,75.8106,13.33,66,3,0.29,KG,1612496426
247,mount isa,-20.7333,139.5,98.6,36,40,16.11,AU,1612496427
248,joshimath,30.5667,79.5667,42.4,54,35,1.32,IN,1612496290
249,severo-kurilsk,50.6789,156.125,13.1,85,74,9.89,RU,1612496427
250,matamoros,25.5333,-103.25,77.0,11,1,1.83,MX,1612496427
251,langxiang,46.95,128.8833,15.57,90,98,1.9,CN,1612496228
252,toamasina,-18.1667,49.3833,75.2,94,20,4.61,MG,1612496428
253,malanje,-9.5402,16.341,62.44,99,99,3.06,AO,1612496428
254,chegdomyn,51.1167,133.0167,-15.81,81,50,2.19,RU,1612496428
255,vardo,70.3705,31.1107,17.6,79,40,13.8,NO,1612496429
256,belen,36.4891,36.2233,51.8,76,40,6.91,TR,1612496429
257,panalingaan,8.7842,117.4231,86.04,60,98,5.68,PH,1612496429
258,tevaitoa,-16.7833,-151.5,82.17,66,1,7.09,PF,1612496429
259,katsuura,35.1333,140.3,52.0,40,20,6.91,JP,1612496292
260,katobu,-4.9408,122.5276,86.16,66,99,5.59,ID,1612496430
261,kununurra,-15.7667,128.7333,91.4,66,40,8.05,AU,1612496305
262,palmer,42.1584,-72.3287,25.0,92,20,4.61,US,1612496284
263,darovskoy,58.77,47.9564,14.67,96,100,1.43,RU,1612496430
264,flin flon,54.7682,-101.865,-5.96,90,100,8.39,CA,1612496269
265,santa maria do suacui,-18.1903,-42.4142,67.44,92,6,1.03,BR,1612496431
266,donnacona,46.6804,-71.7239,24.8,100,20,1.45,CA,1612496188
267,vanavara,60.34,102.2797,-7.08,90,89,3.22,RU,1612496161
268,xichang,27.8964,102.2634,56.66,43,3,3.04,CN,1612496235
269,pombal,-6.7703,-37.8017,77.41,67,26,8.46,BR,1612496432
270,kavieng,-2.5744,150.7967,83.97,74,70,4.97,PG,1612496432
271,tymovskoye,50.8456,142.655,-4.27,84,99,3.31,RU,1612496432
272,saint george,37.1041,-113.5841,46.99,29,1,4.61,US,1612496432
273,banda aceh,5.5577,95.3222,83.89,68,38,15.5,ID,1612496433
274,lircay,-12.9896,-74.7205,49.75,77,100,4.81,PE,1612496433
275,gusau,12.1628,6.6614,67.46,23,0,13.58,NG,1612496433
276,grindavik,63.8424,-22.4338,37.4,81,75,25.32,IS,1612496433
277,nakambala,-15.8324,27.7799,64.4,94,50,2.71,ZM,1612496433
278,araouane,18.9048,-3.5265,70.99,18,94,7.07,ML,1612496434
279,margate,51.3813,1.3862,46.99,89,32,1.99,GB,1612496434
280,kudahuvadhoo,2.6708,72.8944,82.02,72,100,18.9,MV,1612496434
281,russell,32.3502,-85.1999,54.0,58,90,8.66,US,1612496435
282,kalmunai,7.4167,81.8167,78.3,82,100,11.3,LK,1612496435
283,coahuayana,18.7333,-103.6833,69.96,89,10,2.71,MX,1612496435
284,kepno,51.2784,17.9891,30.99,87,80,6.06,PL,1612496435
285,hambantota,6.1241,81.1185,77.0,83,40,4.61,LK,1612496246
286,lompoc,34.6391,-120.4579,51.8,82,1,4.61,US,1612496157
287,faanui,-16.4833,-151.75,82.13,65,1,5.08,PF,1612496436
288,methoni,36.8197,21.7049,51.01,100,2,3.44,GR,1612496436
289,laguna,38.421,-121.4238,50.0,69,19,1.28,US,1612496232
290,ponta do sol,32.6667,-17.1,51.01,66,92,5.01,PT,1612496139
291,ahipara,-35.1667,173.1667,69.44,69,100,6.73,NZ,1612496153
292,ken caryl,39.5773,-105.1169,33.01,50,37,1.01,US,1612496437
293,novyy urengoy,66.0833,76.6333,-23.57,87,27,7.74,RU,1612496437
294,udachnyy,66.4167,112.4,-34.69,79,11,3.56,RU,1612496438
295,eureka,40.8021,-124.1637,48.0,81,2,5.12,US,1612496416
296,mar del plata,-38.0023,-57.5575,64.0,77,40,6.91,AR,1612496438
297,auce,56.4598,22.9017,12.2,85,0,10.36,LV,1612496438
298,alofi,-19.0595,-169.9187,82.4,78,90,8.05,NU,1612496438
299,puerto leguizamo,-0.1934,-74.7819,73.35,94,99,1.66,CO,1612496439
300,gustrow,53.7972,12.1734,30.2,86,75,9.22,DE,1612496439
301,luderitz,-26.6481,15.1594,64.98,68,0,17.43,NA,1612496237
302,baherden,38.4362,57.4316,52.18,41,88,5.01,TM,1612496150
303,amarante do maranhao,-5.5667,-46.7422,72.0,95,98,3.47,BR,1612496439
304,svarstad,59.399,9.9698,12.0,76,16,4.0,NO,1612496440
305,tuntum,-5.2581,-44.6489,73.26,95,100,2.77,BR,1612496440
306,tuim,54.3417,89.9261,10.47,91,95,4.25,RU,1612496440
307,araguacu,-12.9306,-49.8264,74.12,89,74,3.33,BR,1612496440
308,mecca,21.4267,39.8261,68.7,58,81,15.99,SA,1612496228
309,sturgis,41.7992,-85.4192,33.8,93,90,16.11,US,1612496441
310,santo nino,6.435,124.6975,87.8,62,75,12.66,PH,1612496441
311,kahului,20.8947,-156.47,71.6,60,90,12.66,US,1612496230
312,rio gallegos,-51.6226,-69.2181,51.8,50,0,16.11,AR,1612496442
313,xining,36.6167,101.7667,29.16,55,0,3.22,CN,1612496331
314,necochea,-38.5473,-58.7368,53.01,92,0,3.78,AR,1612496144
315,saint anthony,45.0205,-93.218,10.4,61,75,17.27,US,1612496442
316,monclova,26.9,-101.4167,69.69,42,13,5.19,MX,1612496442
317,vila velha,-20.3297,-40.2925,79.0,78,40,8.05,BR,1612496290
318,badou,7.5833,0.6,74.16,80,18,0.81,TG,1612496443
319,tautira,-17.7333,-149.15,82.0,65,37,1.99,PF,1612496151
320,lagoa,39.05,-27.9833,54.68,69,43,19.75,PT,1612496443
321,boundiali,9.5217,-6.4869,70.07,25,9,0.78,CI,1612496443
322,marand,38.4329,45.7749,39.2,93,90,4.61,IR,1612496444
323,carnarvon,-24.8667,113.6333,82.4,71,75,19.57,AU,1612496232
324,moussoro,13.6408,16.4901,63.34,29,0,17.9,TD,1612496444
325,smithers,54.7804,-127.1743,24.8,93,90,4.61,CA,1612496445
326,nuuk,64.1835,-51.7216,14.0,57,20,10.36,GL,1612496445
327,narsaq,60.9167,-46.05,15.8,38,50,3.44,GL,1612496445
328,buin,-33.7333,-70.75,73.0,68,0,10.36,CL,1612496413
329,padang,-0.9492,100.3543,87.8,62,20,4.61,ID,1612496445
330,coria,39.9879,-6.5377,48.0,94,100,3.0,ES,1612496446
331,atar,20.5169,-13.0499,57.87,65,100,5.01,MR,1612496446
332,shingu,33.7333,135.9833,51.8,40,0,10.36,JP,1612496446
333,gizo,-8.103,156.8419,84.97,72,25,10.36,SB,1612496446
334,burns lake,54.2331,-125.7533,24.8,93,100,1.14,CA,1612496284
335,praia,14.9215,-23.5087,69.8,73,75,13.8,CV,1612496447
336,christchurch,-43.5333,172.6333,64.4,52,2,11.5,NZ,1612496447
337,fort madison,40.6298,-91.3151,19.4,73,1,16.11,US,1612496447
338,sandur,15.1,76.55,74.98,42,41,12.01,IN,1612496448
339,fort walton beach,30.4058,-86.6188,63.0,94,75,5.75,US,1612496198
340,guangyuan,32.442,105.823,46.99,44,10,4.0,CN,1612496448
341,guymon,36.6828,-101.4816,33.8,47,1,5.75,US,1612496448
342,rio grande,-32.035,-52.0986,64.99,89,66,4.0,BR,1612496448
343,porto novo,6.4965,2.6036,84.2,84,40,6.91,BJ,1612496449
344,miles city,46.4083,-105.8406,24.8,63,75,4.61,US,1612496449
345,oussouye,12.485,-16.5469,71.6,88,0,6.91,SN,1612496327
346,adwa,14.1646,38.8955,50.36,62,0,1.25,ET,1612496320
347,sao jose da coroa grande,-8.8978,-35.1478,77.7,82,19,8.7,BR,1612496449
348,san ignacio,17.1561,-89.0714,69.01,94,0,4.61,BZ,1612496450
349,ihosy,-22.4,46.1167,72.1,85,86,4.14,MG,1612496450
350,hanna,51.6334,-111.9018,10.4,100,82,5.75,CA,1612496450
351,kaeo,-35.1,173.7833,67.78,75,100,5.5,NZ,1612496450
352,chapais,49.7834,-74.8492,8.6,85,1,4.7,CA,1612496450
353,murray bridge,-35.1167,139.2667,66.99,88,53,20.96,AU,1612496424
354,lorengau,-2.0226,147.2712,80.8,75,100,6.35,PG,1612496282
355,myitkyina,25.3833,97.4,75.02,30,0,2.82,MM,1612496451
356,marion,39.7684,-86.1555,30.99,86,90,31.07,US,1612496451
357,wuwei,37.9281,102.6414,42.96,36,0,2.35,CN,1612496452
358,yaguaron,-25.6,-57.3,69.8,83,0,4.61,PY,1612496452
359,gunjur,13.2019,-16.7339,69.8,78,0,10.36,GM,1612496452
360,cortez,37.3489,-108.5859,30.2,47,1,9.46,US,1612496452
361,sorland,67.667,12.6934,37.09,77,100,18.95,NO,1612496453
362,onguday,50.75,86.15,26.01,90,100,0.43,RU,1612496453
363,rafai,4.95,23.9167,68.31,81,60,2.84,CF,1612496453
364,cidreira,-30.1811,-50.2056,68.38,76,1,16.22,BR,1612496287
365,hirara,24.8,125.2833,73.4,49,20,10.36,JP,1612496453
366,ardesen,41.1911,40.9875,53.6,76,75,3.44,TR,1612496454
367,alice springs,-23.7,133.8833,75.2,60,90,10.36,AU,1612496454
